subject,blink_rate,alpha_power
sub-06,0.0,3.0167605794140626e-06
sub-06,0.0,4.295704580584585e-06
sub-07,1.3852973771702992,4.6753903677368836e-06
sub-07,0.0,4.177638356785416e-06
sub-07,0.0,3.1518988938372755e-06
sub-07,0.0,2.84989039416461e-06
sub-07,0.0,3.7691831325501556e-06
sub-07,0.0,4.455883541185625e-06
sub-07,3.002852710074572,4.710143287041522e-06
sub-07,3.0004500675101267,4.772602306003416e-06
sub-07,3.0004500675101267,4.908022555442983e-06
sub-07,3.0003000300029994,4.3572997966972905e-06
sub-07,9.00180036007201,4.340834711489292e-06
sub-07,0.0,4.413700510311545e-06
sub-07,9.000900090009006,4.222752333519417e-06
sub-07,9.00180036007201,3.98359420564957e-06
sub-07,0.0,4.289534939731063e-06
sub-07,9.000900090008992,4.600685603709983e-06
sub-07,3.0004500675101244,4.1363657724720996e-06
sub-07,6.000900135020267,3.818322976514932e-06
sub-07,3.0004500675101244,4.123320820142225e-06
sub-07,6.000600060006004,4.231307324971872e-06
sub-07,15.002250337550624,4.435286982630391e-06
sub-07,6.000900135020249,4.267486391486144e-06
sub-07,0.0,4.250573394567575e-06
sub-07,3.000300030003002,3.8994888769723536e-06
sub-07,0.0,4.4512115477395075e-06
sub-07,6.000900135020249,3.875351590046159e-06
sub-07,3.0004500675101244,4.129471919783296e-06
sub-07,3.000300030003002,3.70140868972263e-06
sub-07,3.0004500675101244,4.04250323045061e-06
sub-07,0.0,3.934667444088055e-06
sub-07,6.000600060006021,4.127238444395971e-06
sub-07,6.000900135020231,4.354967926227949e-06
sub-07,9.000900090009031,4.077342850802891e-06
sub-07,0.0,4.043941913711011e-06
sub-07,0.0,3.761561811851695e-06
sub-07,0.0,4.3709865981015695e-06
sub-07,0.0,3.4213809261453234e-06
sub-07,0.0,4.285521532792387e-06
sub-07,0.0,4.699878490197981e-06
sub-07,0.0,3.887604909261286e-06
sub-07,12.916188289322585,4.5557100943069375e-06
sub-07,0.0,4.7433842833460655e-06
sub-07,0.0,7.347107027653383e-06
sub-07,0.0,5.2823518093690646e-06
sub-07,27.0040506075912,5.320337604847938e-06
sub-07,45.0045004500449,5.753647176335655e-06
sub-07,54.01080216043214,5.226791132766616e-06
sub-07,39.003900390038915,4.801789026753827e-06
sub-07,27.0040506075912,5.486557927399856e-06
sub-07,9.0013502025304,4.577312757683923e-06
sub-07,6.000600060005987,4.469353890977602e-06
sub-07,6.000900135020267,5.3927932776804795e-06
sub-07,21.00315047257081,4.881301873088842e-06
sub-07,24.003600540081067,4.869791808798609e-06
sub-07,45.006751012651996,5.202285793608213e-06
sub-07,33.00330033003293,5.281718157125623e-06
sub-07,39.00585087763173,5.414821146534213e-06
sub-07,33.00495074261127,4.961005884430939e-06
sub-07,34.29061294470646,6.633653574033808e-06
sub-07,0.0,4.746421377223008e-06
sub-07,0.0,4.452469595806522e-06
sub-07,0.0,4.722982621780126e-06
sub-07,0.0,5.178249832161959e-06
sub-08,4.958472790380563,4.977244630609148e-06
sub-08,0.0,5.254780420319173e-06
sub-08,60.0,5.615069249221297e-06
sub-08,0.0,5.656172836570041e-06
sub-08,0.0,4.943918883034525e-06
sub-08,9.00180036007201,5.380229431732535e-06
